Wall time,Step,Value
1711497523.774387,25,1.50600004196167
1711498009.4628277,50,1.444200038909912
1711498476.4455893,75,1.1311999559402466
1711498943.7878754,100,0.8122000098228455
1711499410.73116,125,0.6312999725341797
1711499877.251615,150,0.32580000162124634
1711500344.9931748,175,0.13459999859333038
1711500812.1822357,200,0.09350000321865082
1711501279.3027544,225,0.06800000369548798
1711501746.2878458,250,0.03060000017285347
1711502213.455227,275,0.027899999171495438
1711502680.1357484,300,0.017400000244379044
1711503147.5986514,325,0.00989999994635582
1711503615.103714,350,0.00839999970048666
1711504081.8692305,375,0.007699999958276749
1711504549.3423254,400,0.004999999888241291
1711505016.3684046,425,0.00559999980032444
1711505482.9515066,450,0.0066999997943639755
1711505950.3781433,475,0.006500000134110451
1711506417.800046,500,0.00860000029206276
1711506884.4528375,525,0.009100000374019146
1711507352.3486614,550,0.009999999776482582
1711507819.5984602,575,0.008100000210106373
1711508286.3147712,600,0.007300000172108412
1711508753.6586535,625,0.007199999876320362
1711509221.1075664,650,0.008299999870359898
1711509688.2527347,675,0.005400000140070915
1711510156.0343137,700,0.0032999999821186066
1711510624.0470946,725,0.00279999990016222
1711511090.8097253,750,0.0026000000070780516
1711511558.380803,775,0.002099999925121665
1711512025.8640552,800,0.00419999985024333
1711512492.9899936,825,0.0015999999595806003
1711512961.1044552,850,0.000699999975040555
1711513428.6817813,875,0.00139999995008111
1711513896.1650822,900,0.0006000000284984708
1711514364.1134672,925,0.0006000000284984708
1711514831.888018,950,0.0005000000237487257
1711515299.154515,975,0.0006000000284984708
1711515767.0008574,1000,0.0006000000284984708
1711516385.1315923,1025,0.0006000000284984708
1711516852.0545106,1050,0.00039999998989515007
1711517320.1973107,1075,0.00039999998989515007
1711517787.3345823,1100,0.00039999998989515007
1711518254.6869159,1125,0.00039999998989515007
1711518722.836804,1150,0.00039999998989515007
1711519189.7172272,1175,0.0003000000142492354
1711519656.79383,1200,0.0003000000142492354
1711520124.4563873,1225,0.0003000000142492354
1711520592.334622,1250,0.0003000000142492354
1711521059.9637587,1275,0.0003000000142492354
1711521528.575574,1300,0.0003000000142492354
1711521996.1377952,1325,0.0003000000142492354
1711522463.5990202,1350,0.0003000000142492354
1711522931.5269315,1375,0.0003000000142492354
1711523398.7448974,1400,0.0003000000142492354
1711523866.1222422,1425,0.0003000000142492354
1711524333.793574,1450,0.0003000000142492354
1711524801.5990393,1475,0.0003000000142492354
1711525269.2244601,1500,0.0003000000142492354
1711525736.9175966,1525,0.0003000000142492354
1711526204.746425,1550,0.00019999999494757503
1711526671.9621108,1575,0.00019999999494757503
1711527139.557561,1600,0.00019999999494757503
1711527606.9383733,1625,0.00019999999494757503
1711528073.944458,1650,0.00019999999494757503
1711528541.9786158,1675,0.00019999999494757503
1711529009.7359219,1700,0.00019999999494757503
1711529477.3856633,1725,0.00019999999494757503
1711529947.0875804,1750,0.00019999999494757503
1711530414.92427,1775,0.00019999999494757503
1711530882.6368482,1800,0.00019999999494757503
1711531351.0397766,1825,0.00019999999494757503
1711531819.3875165,1850,0.00019999999494757503
1711532287.0864923,1875,0.00019999999494757503
1711532755.1922681,1900,0.00019999999494757503
1711533222.722018,1925,0.00019999999494757503
1711533689.8370917,1950,0.00019999999494757503
1711534157.9630356,1975,0.00019999999494757503
1711534626.100347,2000,0.00019999999494757503
1711535229.8284512,2025,0.00019999999494757503
1711535697.6221066,2050,0.00019999999494757503
1711536165.482065,2075,0.00019999999494757503
1711536633.399584,2100,0.00019999999494757503
1711537101.6801157,2125,9.999999747378752e-05
1711537569.9607558,2150,9.999999747378752e-05
1711538037.6706629,2175,9.999999747378752e-05
1711538506.3363914,2200,9.999999747378752e-05
1711538974.253414,2225,9.999999747378752e-05
1711539441.5039372,2250,9.999999747378752e-05
1711539910.6314921,2275,9.999999747378752e-05
1711540378.8489408,2300,9.999999747378752e-05
1711540846.7427447,2325,9.999999747378752e-05
1711541315.264599,2350,9.999999747378752e-05
1711541783.156607,2375,9.999999747378752e-05
1711542251.4637208,2400,9.999999747378752e-05
1711542720.4779508,2425,9.999999747378752e-05
1711543189.1209648,2450,9.999999747378752e-05
1711543657.52036,2475,9.999999747378752e-05
1711544125.4824162,2500,9.999999747378752e-05
1711544593.6100433,2525,9.999999747378752e-05
1711545060.768811,2550,9.999999747378752e-05
1711545529.4123566,2575,9.999999747378752e-05
1711545997.4396229,2600,9.999999747378752e-05
1711546465.0456035,2625,9.999999747378752e-05
1711546932.925951,2650,9.999999747378752e-05
1711547400.322296,2675,9.999999747378752e-05
1711547868.0159125,2700,9.999999747378752e-05
1711548336.7084458,2725,9.999999747378752e-05
1711548804.3676789,2750,9.999999747378752e-05
1711549272.3850222,2775,9.999999747378752e-05
1711549740.4350195,2800,9.999999747378752e-05
1711550208.699262,2825,9.999999747378752e-05
1711550676.59327,2850,9.999999747378752e-05
1711551144.6042087,2875,9.999999747378752e-05
1711551612.146206,2900,9.999999747378752e-05
1711552078.9123194,2925,9.999999747378752e-05
1711552546.973815,2950,9.999999747378752e-05
1711553015.1354234,2975,9.999999747378752e-05
1711553482.0804052,3000,9.999999747378752e-05
1711554088.1818998,3025,9.999999747378752e-05
1711554556.0028255,3050,9.999999747378752e-05
1711555024.5918605,3075,9.999999747378752e-05
1711555493.031488,3100,9.999999747378752e-05
1711555961.059485,3125,9.999999747378752e-05
1711556429.2733126,3150,9.999999747378752e-05
1711556898.1242,3175,9.999999747378752e-05
1711557365.6256578,3200,9.999999747378752e-05
1711557833.2247715,3225,9.999999747378752e-05
1711558301.7528598,3250,9.999999747378752e-05
1711558770.5365481,3275,9.999999747378752e-05
1711559238.7550454,3300,9.999999747378752e-05
1711559707.7345145,3325,9.999999747378752e-05
1711560176.1553464,3350,9.999999747378752e-05
1711560643.751925,3375,9.999999747378752e-05
1711561112.229085,3400,9.999999747378752e-05
1711561580.0798516,3425,9.999999747378752e-05
1711562047.2791605,3450,9.999999747378752e-05
1711562515.0842495,3475,9.999999747378752e-05
1711562982.9940085,3500,9.999999747378752e-05
1711563450.2555833,3525,9.999999747378752e-05
1711563918.183394,3550,9.999999747378752e-05
1711564385.7101512,3575,9.999999747378752e-05
1711564853.025419,3600,9.999999747378752e-05
1711565320.9154823,3625,9.999999747378752e-05
1711565788.9622538,3650,9.999999747378752e-05
1711566256.292342,3675,9.999999747378752e-05
1711566721.494267,3700,9.999999747378752e-05
1711567184.2836726,3725,9.999999747378752e-05
1711567647.2791228,3750,9.999999747378752e-05
1711568110.7236302,3775,9.999999747378752e-05
1711568573.1520152,3800,9.999999747378752e-05
1711569035.9793825,3825,9.999999747378752e-05
1711569499.015628,3850,9.999999747378752e-05
1711569961.924058,3875,9.999999747378752e-05
1711570424.0084,3900,9.999999747378752e-05
1711570886.811307,3925,9.999999747378752e-05
1711571350.5747094,3950,9.999999747378752e-05
1711571813.4695268,3975,9.999999747378752e-05
1711572276.8074265,4000,9.999999747378752e-05
